Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815
0.758,0.82599506,1.183753681
0.759,0.825763654,1.184225648
0.76,0.825771254,1.185288647
0.761,0.825806934,1.185698599
0.762,0.825793647,1.186090705
0.763,0.825843652,1.186460416
0.764,0.825780018,1.186854124
0.765,0.826079949,1.187259137
0.766,0.826149843,1.1875607
0.767,0.826109437,1.188295732
0.768,0.826024235,1.18867487
0.769,0.825782007,1.189121384
0.77,0.825513459,1.189380707
0.771,0.825302024,1.189792967
0.772,0.825113504,1.19016996
0.773,0.824938161,1.190462208
0.774,0.8248032,1.190888957
0.775,0.824777237,1.192144023
0.776,0.824585786,1.192423825
0.777,0.824664641,1.192758172
0.778,0.824527324,1.192974909
0.779,0.824423332,1.193216038
0.78,0.824244173,1.193577476
0.781,0.824054183,1.19384817
0.782,0.824073099,1.194112086
0.783,0.824321773,1.194232791
0.784,0.824445801,1.194346812
0.785,0.824701469,1.194565865
0.786,0.824777781,1.194738949
0.787,0.824790858,1.195110914
0.788,0.824720416,1.195266924
0.789,0.824939075,1.195460897
0.79,0.824991039,1.195626887
0.791,0.824955718,1.195921293
0.792,0.824910134,1.196324597
0.793,0.82486541,1.196685845
0.794,0.82499115,1.197007065
0.795,0.825154573,1.197188301
0.796,0.825204766,1.197500487
0.797,0.825167546,1.197799724
0.798,0.825104949,1.197976829
0.799,0.825339359,1.198258505
0.8,0.82544182,1.198469341
0.801,0.825512973,1.198746016
0.802,0.825599052,1.199141271
0.803,0.825662633,1.199447147
0.804,0.825903743,1.199776634
0.805,0.826186457,1.200322047
0.806,0.82637937,1.200870816
0.807,0.826425558,1.201317751
0.808,0.826470428,1.201670459
0.809,0.826566569,1.202028809
0.81,0.826681204,1.202309805
0.811,0.826945081,1.20271451
0.812,0.827944236,1.203185335
0.813,0.828680494,1.20362934
0.814,0.829095206,1.204132741
0.815,0.829351986,1.204689558
0.816,0.829872433,1.205225124
0.817,0.830764602,1.205739752
0.818,0.830964582,1.206327933
0.819,0.831021434,1.206778033
0.82,0.831040129,1.207256673
0.821,0.831304645,1.20775371
0.822,0.831560929,1.208374879
0.823,0.83175092,1.20881285
0.824,0.831828625,1.209412073
0.825,0.8319028,1.210684356
0.826,0.831924312,1.211296477
0.827,0.832030346,1.211983003
0.828,0.833608443,1.212685053
0.829,0.833779295,1.213276484
0.83,0.833763736,1.213749667
0.831,0.833862414,1.21425886
0.832,0.833841985,1.214678968
0.833,0.83369794,1.215198677
0.834,0.833690805,1.215733515
0.835,0.833671526,1.216316492
0.836,0.83366213,1.217053583
0.837,0.833651164,1.21774651
0.838,0.833535926,1.220567561
0.839,0.833443935,1.221034599
0.84,0.833363766,1.221275013
0.841,0.833403283,1.221593763
0.842,0.833452959,1.22190567
